time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T13:52:37.895Z,63.0559,-149.6126,85.8,1.3,ml,,,,0.32,ak,ak02213wy6vh,2022-01-24T13:55:39.283Z,"50 km SW of Cantwell, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-01-24T13:31:18.210Z,35.9355,-117.3326667,6.53,0.98,ml,10,168,0.05984,0.11,ci,ci39921927,2022-01-24T13:34:54.834Z,"20km NNE of Trona, CA",earthquake,0.39,0.59,0.143,8,automatic,ci,ci
2022-01-24T13:16:23.513Z,18.4723,-73.3346,10,5.3,mww,,30,1.894,0.5,us,us7000gek3,2022-01-24T13:35:03.040Z,"3 km SSE of Anse-à-Veau, Haiti",earthquake,5.9,1.9,0.044,49,reviewed,us,us
2022-01-24T13:13:19.650Z,34.1665,-116.5611667,1.57,1.08,ml,26,77,0.1466,0.16,ci,ci39921887,2022-01-24T13:17:00.340Z,"13km WNW of Yucca Valley, CA",earthquake,0.26,0.57,0.152,26,automatic,ci,ci
2022-01-24T13:11:56.463Z,38.2637,-118.3466,11.8,2.4,ml,26,67.18,0.125,0.1819,nn,nn00832334,2022-01-24T13:15:56.122Z,"25 km SW of Mina, Nevada",earthquake,,0.3,0.25,14,automatic,nn,nn
2022-01-24T13:00:12.140Z,19.1826667785645,-155.47200012207,32.6199989318848,2.54999995,md,48,89,,0.109999999,hv,hv72888162,2022-01-24T13:05:43.160Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.51,0.769999981,0.800000012,35,automatic,hv,hv
2022-01-24T12:44:52.803Z,61.3908,-150.0176,32.2,1.6,ml,,,,0.88,ak,ak02213wb2ow,2022-01-24T12:47:51.749Z,"4 km NNW of Point MacKenzie, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-01-24T12:44:43.910Z,35.9358333,-117.323,2.93,2.19,ml,23,80,0.05517,0.13,ci,ci39921839,2022-01-24T12:55:50.490Z,"20km NNE of Trona, CA",earthquake,0.28,0.48,0.137,25,automatic,ci,ci
2022-01-24T12:43:49.620Z,34.1056667,-116.9346667,4.46,1.13,ml,25,63,0.01213,0.18,ci,ci39921831,2022-01-24T12:47:28.241Z,"13km NE of Yucaipa, CA",earthquake,0.34,0.51,0.144,28,automatic,ci,ci
2022-01-24T12:41:33.070Z,38.7723351,-122.7443314,-0.34,1.96,md,12,102,0.05341,0.16,nc,nc73682416,2022-01-24T13:14:10.529Z,"1km ESE of The Geysers, CA",earthquake,0.47,1.68,0.08,11,automatic,nc,nc
2022-01-24T12:23:23.426Z,61.6683,-151.3622,1,1.8,ml,,,,0.9,ak,ak02213w6ien,2022-01-24T12:28:39.531Z,"35 km S of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-01-24T12:20:16.120Z,33.3761667,-116.9668333,4.54,0.99,ml,29,47,0.05587,0.25,ci,ci39921799,2022-01-24T12:24:02.531Z,"10km WNW of Palomar Observatory, CA",earthquake,0.32,0.72,0.095,26,automatic,ci,ci
